victim_number,Victim_Age,Victim_Sex,crime_id
1402,0,,281
1353,34,M,232
1447,0,,326
1565,0,,444
1557,34,F,436
1600,0,,479
1502,44,F,381
1374,24,M,253
1297,0,M,176
1318,0,,197
1474,29,M,353
1138,23,M,17
1369,51,M,248
1266,37,M,145
1415,0,,294
1596,0,,475
1327,41,M,206
1304,0,,183
1437,0,,316
1136,12,M,15
1245,0,,124
1434,0,,313
1301,22,M,180
1431,49,M,310
1382,51,F,261
1125,0,,4
1568,45,F,447
1558,0,,437
1156,50,F,35
1573,31,F,452
1365,0,,244
1178,21,F,57
1145,20,F,24
1277,0,,156
1421,19,F,300
1343,53,M,222
1251,39,M,130
1193,45,M,72
1192,48,F,71
1376,26,M,255
1332,35,F,211
1539,44,M,418
1216,32,F,95
1122,30,F,1
1580,0,M,459
1203,46,F,82
1520,0,,399
1572,0,,451
1150,24,M,29
1212,46,F,91
1542,0,,421
1157,60,F,36
1340,36,M,219
1577,45,M,456
1312,27,M,191
1288,0,,167
1285,0,,164
1275,0,M,154
1603,18,F,482
1511,0,,390
1309,21,F,188
1446,23,F,325
1519,0,,398
1158,0,M,37
1541,0,,420
1468,52,F,347
1127,49,F,6
1264,19,M,143
1481,54,M,360
1322,25,F,201
1422,0,,301
1279,27,F,158
1484,25,M,363
1479,0,,358
1429,12,M,308
1337,15,F,216
1229,27,M,108
1269,22,F,148
1243,0,,122
1298,50,M,177
1505,27,M,384
1614,0,,493
1215,0,,94
1563,0,,442
1457,0,,336
1254,0,,133
1308,30,M,187
1375,56,M,254
1388,0,,267
1592,60,M,471
1287,0,,166
1373,61,M,252
1194,29,F,73
1570,29,M,449
1440,0,,319
1252,0,,131
1439,0,,318
1329,13,M,208
1454,21,M,333
1500,30,F,379
1452,40,M,331
1258,34,M,137
1483,0,F,362
1555,27,M,434
1575,0,,454
1405,46,M,284
1513,0,,392
1595,49,M,474
1618,0,,497
1142,34,F,21
1259,0,,138
1282,58,M,161
1130,0,,9
1497,43,M,376
1583,58,F,462
1462,60,M,341
1214,0,,93
1613,0,,492
1523,0,,402
1400,0,,279
1616,0,,495
1477,0,,356
1578,0,M,457
1395,0,,274
1303,0,M,182
1324,52,M,203
1149,30,M,28
1281,0,,160
1185,28,M,64
1128,0,,7
1569,0,,448
